t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999
1719503041,164,296,11.951220,0,32.390032,2.000000,11.750000,55.000000,135.700000,231.650000,296.000000
1719503071,168,296,11.827381,0,32.051418,2.000000,11.750000,50.200000,133.220000,227.690000,296.000000
1719503101,170,296,11.747059,0,31.874395,2.000000,11.250000,47.800000,131.980000,225.710000,296.000000
1719503131,172,296,11.802326,0,31.741765,2.000000,11.750000,45.400000,130.740000,223.730000,296.000000
1719503161,176,296,11.625000,0,31.404572,2.000000,11.000000,40.600000,128.260000,219.770000,296.000000
1719503191,178,296,11.528090,0,31.240670,2.000000,11.000000,38.200000,127.020000,217.790000,296.000000
1719503221,180,296,11.444444,0,31.078603,2.000000,11.000000,36.950000,125.780000,215.810000,296.000000
1719503251,184,296,11.233696,0,30.771230,2.000000,11.000000,36.750000,123.300000,211.850000,296.000000
1719503281,186,296,11.161290,0,30.615944,2.000000,11.000000,36.650000,122.060000,209.870000,296.000000
1719503311,188,296,11.101064,0,30.460905,2.000000,11.000000,36.550000,120.820000,207.890000,296.000000
1719503341,192,296,11.036458,0,30.165924,2.000000,11.000000,36.350000,118.340000,203.930000,296.000000
1719503371,194,296,10.943299,0,30.023339,2.000000,11.000000,36.250000,117.100000,201.950000,296.000000
1719503401,198,296,10.792929,0,29.742082,2.000000,11.000000,36.050000,114.620000,197.990000,296.000000
1719503431,200,296,10.690000,0,29.610094,2.000000,11.000000,35.850000,113.260000,196.480000,296.000000
1719503461,202,296,10.594059,0,29.478107,2.000000,11.000000,35.550000,111.780000,195.440000,296.000000
1719503491,206,296,10.538835,0,29.218870,2.000000,11.000000,34.950000,108.820000,193.360000,296.000000
1719503521,208,296,10.504808,0,29.085414,2.000000,11.000000,34.650000,107.340000,192.320000,296.000000
1719503551,210,296,10.533333,0,28.973199,2.000000,11.000000,34.350000,105.860000,191.280000,296.000000
1719503582,214,296,10.378505,0,28.725538,2.000000,11.000000,33.750000,102.900000,189.200000,296.000000
1719503612,216,296,10.347222,0,28.601428,2.000000,11.000000,33.450000,101.420000,188.160000,296.000000
1719503642,220,296,10.245455,0,28.367834,2.000000,11.000000,33.000000,98.460000,186.080000,296.000000
1719503672,222,296,10.265766,0,28.265013,2.000000,11.000000,33.000000,96.980000,185.040000,296.000000
1719503702,224,296,10.258929,0,28.152450,2.000000,11.000000,33.000000,95.500000,184.000000,296.000000
1719503732,228,296,10.214912,0,27.926151,2.000000,11.000000,33.000000,92.540000,181.920000,296.000000
1719503762,230,296,10.165217,0,27.812199,2.000000,11.000000,33.000000,91.060000,180.880000,296.000000
1719503792,232,296,10.120690,0,27.699580,2.000000,11.000000,33.000000,89.580000,179.840000,296.000000
1719503822,236,296,10.004237,0,27.485160,2.000000,11.000000,33.000000,86.620000,177.760000,296.000000
1719503852,238,296,9.924370,0,27.382787,2.000000,11.000000,33.000000,85.140000,176.720000,296.000000
1719503882,242,296,9.785124,0,27.176756,2.000000,11.000000,32.700000,82.180000,174.640000,296.000000
1719503912,244,296,9.713115,0,27.076474,2.000000,10.750000,32.500000,80.700000,173.600000,296.000000
1719503942,246,296,9.682927,0,26.973250,2.000000,11.000000,32.300000,79.220000,172.560000,296.000000
1719503972,250,296,9.592000,0,26.772010,2.000000,11.000000,31.900000,76.840000,170.480000,296.000000
1719504002,252,296,9.571429,0,26.673451,2.000000,11.000000,31.700000,76.520000,169.440000,296.000000
1719504032,256,296,9.476563,0,26.479875,2.000000,11.000000,31.300000,75.880000,167.360000,296.000000
1719504062,264,296,9.246212,0,26.109232,2.000000,10.000000,31.000000,74.600000,163.200000,296.000000
1719504092,268,296,9.167910,0,25.924656,2.000000,10.000000,31.000000,73.960000,161.120000,296.000000
1719504122,274,296,9.043796,0,25.660040,2.000000,10.000000,31.000000,73.000000,158.000000,296.000000
1719504152,278,296,8.996403,0,25.484971,2.000000,10.000000,31.000000,72.360000,155.920000,296.000000
1719504182,282,296,8.882979,0,25.320939,2.000000,10.000000,30.550000,71.720000,153.840000,296.000000
1719504212,286,296,8.870629,0,25.161389,2.000000,10.000000,29.950000,71.080000,151.760000,296.000000
1719504270,12,1233,224.750000,2,471.538512,12.500000,81.250000,1233.000000,1233.000000,1233.000000,1233.000000
1719504300,18,1233,156.555556,1,392.289692,11.500000,58.750000,1233.000000,1233.000000,1233.000000,1233.000000
1719504330,27,1233,115.777778,1,324.034107,11.000000,52.000000,1232.600000,1233.000000,1233.000000,1233.000000
1719504360,30,1233,105.533333,1,308.417287,11.500000,50.500000,1232.450000,1233.000000,1233.000000,1233.000000
1719504390,36,1233,90.638889,1,282.810300,11.500000,37.250000,1232.150000,1233.000000,1233.000000,1233.000000
1719504420,39,1233,83.923077,1,272.439214,10.000000,20.000000,1232.000000,1233.000000,1233.000000,1233.000000
1719504450,42,1233,78.261905,1,263.096111,10.000000,20.000000,1067.300000,1233.000000,1233.000000,1233.000000
1719504480,48,1233,69.354167,1,246.891008,9.500000,18.250000,737.900000,1233.000000,1233.000000,1233.000000
1719504510,51,1233,65.450980,1,239.888834,8.000000,16.000000,573.200000,1232.960000,1233.000000,1233.000000
1719504540,54,1233,61.981481,1,233.447703,7.000000,16.000000,408.500000,1232.900000,1233.000000,1233.000000
1719504570,60,1233,56.000000,1,221.998473,5.500000,14.500000,133.650000,1232.780000,1233.000000,1233.000000
1719504600,63,1233,53.444444,0,216.867492,5.000000,13.000000,132.600000,1232.720000,1233.000000,1233.000000
1719504630,66,1233,51.106061,0,212.078877,5.000000,13.000000,131.550000,1232.660000,1233.000000,1233.000000
1719504660,72,1233,47.069444,0,203.367864,4.500000,12.000000,129.450000,1232.540000,1233.000000,1233.000000
1719504690,75,1233,45.320000,0,199.390027,4.000000,12.000000,128.400000,1232.480000,1233.000000,1233.000000
1719504720,81,1233,42.061728,0,192.117369,4.000000,11.500000,122.500000,1232.360000,1233.000000,1233.000000
1719504750,84,1233,40.607143,0,188.766638,3.500000,10.750000,115.750000,1232.300000,1233.000000,1233.000000
1719504780,87,1233,39.287356,0,185.578035,3.000000,10.000000,109.000000,1232.240000,1233.000000,1233.000000
1719504810,93,1233,36.860215,0,179.665304,3.000000,10.000000,95.500000,1232.120000,1233.000000,1233.000000
1719504840,96,1233,35.770833,0,176.910889,3.000000,9.750000,88.750000,1232.060000,1233.000000,1233.000000
1719504870,102,1233,33.980392,0,171.731080,3.000000,10.000000,81.550000,1166.120000,1232.970000,1233.000000
1719504900,105,1233,33.076190,0,169.319208,3.000000,9.500000,81.100000,1100.240000,1232.940000,1233.000000
1719504930,108,1233,32.231481,0,167.004315,3.000000,8.750000,80.650000,1034.360000,1232.910000,1233.000000
1719504960,114,1233,30.640351,0,162.651924,3.000000,7.250000,79.750000,902.600000,1232.850000,1233.000000
1719504991,117,1233,29.888889,0,160.602356,3.000000,7.000000,79.300000,836.720000,1232.820000,1233.000000
1719505021,123,1233,28.528455,0,156.720035,3.000000,6.000000,73.600000,704.960000,1232.760000,1233.000000
