t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1719503431,200,0.098325,0.101034,0.092748,0.083963,events/second
1719503461,202,0.097863,0.088353,0.090316,0.083402,events/second
1719503491,206,0.098370,0.092496,0.091212,0.083943,events/second
1719503521,208,0.097921,0.096069,0.092076,0.084473,events/second
1719503551,210,0.097485,0.085341,0.089708,0.083895,events/second
1719503582,214,0.097976,0.106660,0.093968,0.085528,events/second
1719503612,216,0.097551,0.094118,0.091528,0.084928,events/second
1719503642,220,0.098029,0.081993,0.089107,0.084323,events/second
1719503672,222,0.097614,0.102798,0.093321,0.085930,events/second
1719503702,224,0.097210,0.089422,0.090835,0.085304,events/second
1719503732,228,0.097673,0.077154,0.088376,0.084675,events/second
1719503762,230,0.097279,0.099862,0.092660,0.086271,events/second
1719503792,232,0.096894,0.087642,0.090237,0.085634,events/second
1719503822,236,0.097344,0.108056,0.094447,0.087210,events/second
1719503852,238,0.096968,0.094964,0.091961,0.086555,events/second
1719503882,242,0.097406,0.082507,0.089499,0.085896,events/second
1719503912,244,0.097038,0.103109,0.093676,0.087452,events/second
1719503942,246,0.096679,0.089611,0.091156,0.086776,events/second
1719503972,250,0.097105,0.109250,0.095278,0.088315,events/second
1719504002,252,0.096753,0.095689,0.092713,0.087623,events/second
1719504032,256,0.097169,0.082946,0.090179,0.086930,events/second
1719504062,264,0.099076,0.150634,0.106761,0.092798,events/second
1719504092,268,0.099457,0.137356,0.108973,0.094091,events/second
1719504122,274,0.100563,0.181644,0.123662,0.099712,events/second
1719504152,278,0.100919,0.135080,0.118183,0.098623,events/second
1719504182,282,0.101267,0.155356,0.125706,0.101916,events/second
1719504212,286,0.101608,0.119136,0.120032,0.100754,events/second
1719504270,12,0.459795,0.166646,0.038535,0.013168,events/second
1719504300,18,0.320459,0.179046,0.053894,0.019293,events/second
1719504330,27,0.313257,0.235082,0.077713,0.028541,events/second
1719504360,30,0.258119,0.183193,0.079910,0.030893,events/second
1719504390,36,0.246153,0.145487,0.081583,0.033131,events/second
1719504420,39,0.221246,0.164006,0.092697,0.038584,events/second
1719504450,42,0.203590,0.136836,0.093309,0.040588,events/second
1719504480,48,0.203108,0.165343,0.103624,0.045832,events/second
1719504510,51,0.191480,0.140894,0.103355,0.047617,events/second
1719504540,54,0.182210,0.120827,0.102849,0.049313,events/second
1719504570,60,0.183832,0.150327,0.111994,0.054241,events/second
1719504600,63,0.176763,0.131787,0.110928,0.055750,events/second
1719504630,66,0.170792,0.117294,0.109805,0.057192,events/second
1719504660,72,0.172886,0.150742,0.118397,0.061874,events/second
1719504690,75,0.167981,0.132038,0.116722,0.063133,events/second
1719504720,81,0.169988,0.162433,0.124809,0.067638,events/second
1719504750,84,0.165836,0.142658,0.122685,0.068726,events/second
1719504780,87,0.162148,0.123888,0.120444,0.069743,events/second
1719504810,93,0.164147,0.150906,0.127859,0.073995,events/second
1719504840,96,0.160913,0.132137,0.125284,0.074856,events/second
1719504870,102,0.162779,0.146502,0.129251,0.077869,events/second
1719504900,105,0.159904,0.143538,0.129745,0.079700,events/second
1719504930,108,0.157282,0.125504,0.126885,0.080362,events/second
1719504960,114,0.159064,0.142479,0.130699,0.083195,events/second
1719504991,117,0.156686,0.141097,0.131056,0.084851,events/second
1719505021,123,0.158354,0.122941,0.128018,0.085338,events/second
1719505051,126,0.156179,0.150331,0.134713,0.089079,events/second
1719505081,129,0.154160,0.131789,0.131485,0.089446,events/second
1719505111,135,0.155742,0.162282,0.138167,0.093089,events/second
1719505141,138,0.153873,0.142567,0.134772,0.093343,events/second
1719505171,141,0.152126,0.123833,0.131380,0.093552,events/second
1719505201,147,0.153624,0.154708,0.137919,0.097042,events/second
1719505231,150,0.151990,0.137973,0.134548,0.097166,events/second
1719505261,156,0.153403,0.121046,0.131177,0.097250,events/second
1719505291,159,0.151869,0.149182,0.137571,0.100600,events/second
1719505321,162,0.150421,0.127845,0.133913,0.100571,events/second
1719505351,168,0.151762,0.159890,0.140364,0.103849,events/second
1719505381,171,0.150393,0.141116,0.136760,0.103750,events/second
1719505411,174,0.149095,0.122953,0.133179,0.103618,events/second
1719505441,180,0.150369,0.156922,0.139700,0.106796,events/second
1719505471,183,0.149136,0.139316,0.136159,0.106601,events/second
1719505501,186,0.147960,0.121861,0.132635,0.106375,events/second
1719505531,192,0.149170,0.150955,0.138946,0.109433,events/second
1719505561,195,0.148048,0.132167,0.135315,0.109132,events/second
1719505591,201,0.149202,0.114538,0.131716,0.108806,events/second
1719505621,204,0.148128,0.145234,0.138059,0.111777,events/second
1719505651,207,0.147100,0.125451,0.134354,0.111382,events/second
1719505681,213,0.148201,0.158437,0.140763,0.114305,events/second
1719505711,216,0.147213,0.140235,0.137121,0.113864,events/second
1719505741,219,0.146265,0.122418,0.133506,0.113400,events/second
1719505771,225,0.147318,0.153850,0.139842,0.116239,events/second
1719505801,228,0.146405,0.133923,0.136127,0.115716,events/second
1719505831,231,0.145526,0.115603,0.132450,0.115173,events/second
1719505861,237,0.146535,0.149716,0.138887,0.117955,events/second
1719505891,240,0.145686,0.131416,0.135262,0.117375,events/second
1719505921,246,0.146655,0.162056,0.141585,0.120102,events/second
1719505951,255,0.149348,0.138900,0.137703,0.119452,events/second
1719505980,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506010,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506040,8,0.120049,0.114474,0.025808,0.008791,events/second
1719506070,18,0.186187,0.208120,0.055442,0.019473,events/second
1719506100,28,0.220981,0.250165,0.081521,0.029721,events/second
1719506130,30,0.191406,0.176641,0.080052,0.030926,events/second
1719506160,41,0.219534,0.231312,0.101275,0.039781,events/second
1719506190,51,0.235241,0.299284,0.129803,0.051602,events/second
1719506220,1292,5.234093,14.143028,3.005948,1.018250,events/second
1719506250,7584,27.386002,91.113726,22.635784,7.843429,events/second
1719506280,13546,44.119514,133.064827,39.329138,14.081023,events/second
1719506310,19644,58.269641,160.256653,54.894417,20.274838,events/second
1719506340,25640,69.822883,174.982763,68.592605,26.135302,events/second
1719506370,31755,79.927619,185.371045,81.123391,31.838204,events/second
1719506401,38047,89.021555,195.158993,93.497585,37.722244,events/second
1719506431,44884,98.108978,206.371014,105.828038,43.795667,events/second
1719506461,51917,106.479283,217.406812,118.113668,50.064765,events/second
1719506491,58592,113.184673,219.522822,128.201175,55.778490,events/second
1719506521,65372,119.347686,220.732326,137.158780,61.237316,events/second
1719506551,72067,124.720769,221.967136,145.542579,66.622045,events/second
1719506581,79011,129.969866,225.701825,153.645110,71.996633,events/second
