t,count,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit
1719501420,1,0.041336,0.000000,0.000000,0.000000,events/second
1719501450,1,0.018440,0.000000,0.000000,0.000000,events/second
1719501480,1,0.011869,0.000000,0.000000,0.000000,events/second
1719501510,1,0.008751,0.000000,0.000000,0.000000,events/second
1719501540,1,0.006930,0.000000,0.000000,0.000000,events/second
1719501570,1,0.005737,0.000000,0.000000,0.000000,events/second
1719501600,1,0.004894,0.000000,0.000000,0.000000,events/second
1719501630,1,0.004267,0.000000,0.000000,0.000000,events/second
1719501660,1,0.003782,0.000000,0.000000,0.000000,events/second
1719501690,1,0.003397,0.000000,0.000000,0.000000,events/second
1719501720,1,0.003082,0.000000,0.000000,0.000000,events/second
1719501750,1,0.002821,0.000000,0.000000,0.000000,events/second
1719501780,1,0.002601,0.000000,0.000000,0.000000,events/second
1719501810,1,0.002413,0.000000,0.000000,0.000000,events/second
1719501840,1,0.002250,0.000000,0.000000,0.000000,events/second
1719501870,1,0.002107,0.000000,0.000000,0.000000,events/second
1719501900,1,0.001982,0.000000,0.000000,0.000000,events/second
1719501930,1,0.001871,0.000000,0.000000,0.000000,events/second
1719501960,1,0.001771,0.000000,0.000000,0.000000,events/second
1719501990,1,0.001682,0.000000,0.000000,0.000000,events/second
1719502020,1,0.001601,0.000000,0.000000,0.000000,events/second
1719502050,1,0.001528,0.000000,0.000000,0.000000,events/second
1719502080,1,0.001461,0.000000,0.000000,0.000000,events/second
1719502110,1,0.001399,0.000000,0.000000,0.000000,events/second
1719502140,1,0.001343,0.000000,0.000000,0.000000,events/second
1719502170,1,0.001291,0.000000,0.000000,0.000000,events/second
1719502200,1,0.001243,0.000000,0.000000,0.000000,events/second
1719502230,1,0.001198,0.000000,0.000000,0.000000,events/second
1719502260,1,0.001156,0.000000,0.000000,0.000000,events/second
1719502290,1,0.001118,0.000000,0.000000,0.000000,events/second
1719502320,2,0.002163,0.000000,0.000000,0.000000,events/second
1719502350,2,0.002095,0.000000,0.000000,0.000000,events/second
1719502380,2,0.002031,0.000000,0.000000,0.000000,events/second
1719502410,2,0.001971,0.000000,0.000000,0.000000,events/second
1719502440,2,0.001914,0.000000,0.000000,0.000000,events/second
1719502470,2,0.001861,0.000000,0.000000,0.000000,events/second
1719502500,2,0.001810,0.000000,0.000000,0.000000,events/second
1719502530,2,0.001762,0.000000,0.000000,0.000000,events/second
1719502560,2,0.001717,0.000000,0.000000,0.000000,events/second
1719502590,2,0.001674,0.000000,0.000000,0.000000,events/second
1719502620,2,0.001633,0.000000,0.000000,0.000000,events/second
1719502650,2,0.001594,0.000000,0.000000,0.000000,events/second
1719502680,2,0.001556,0.000000,0.000000,0.000000,events/second
1719502710,2,0.001521,0.000000,0.000000,0.000000,events/second
1719502740,2,0.001487,0.000000,0.000000,0.000000,events/second
1719502770,2,0.001454,0.000000,0.000000,0.000000,events/second
1719502800,2,0.001423,0.000000,0.000000,0.000000,events/second
1719502830,2,0.001394,0.000000,0.000000,0.000000,events/second
1719502860,2,0.001365,0.000000,0.000000,0.000000,events/second
1719502891,2,0.001338,0.000000,0.000000,0.000000,events/second
1719502921,2,0.001311,0.000000,0.000000,0.000000,events/second
1719502951,2,0.001286,0.000000,0.000000,0.000000,events/second
1719502981,2,0.001262,0.000000,0.000000,0.000000,events/second
1719503011,2,0.001238,0.000000,0.000000,0.000000,events/second
1719503041,2,0.001216,0.000000,0.000000,0.000000,events/second
1719503071,2,0.001194,0.000000,0.000000,0.000000,events/second
1719503101,2,0.001173,0.000000,0.000000,0.000000,events/second
1719503131,2,0.001153,0.000000,0.000000,0.000000,events/second
1719503161,2,0.001133,0.000000,0.000000,0.000000,events/second
1719503191,2,0.001114,0.000000,0.000000,0.000000,events/second
1719503221,2,0.001096,0.000000,0.000000,0.000000,events/second
1719503251,2,0.001078,0.000000,0.000000,0.000000,events/second
1719503281,2,0.001061,0.000000,0.000000,0.000000,events/second
1719503311,2,0.001044,0.000000,0.000000,0.000000,events/second
1719503341,2,0.001028,0.000000,0.000000,0.000000,events/second
1719503371,2,0.001012,0.000000,0.000000,0.000000,events/second
1719503401,2,0.000997,0.000000,0.000000,0.000000,events/second
1719503431,2,0.000983,0.000000,0.000000,0.000000,events/second
1719503461,2,0.000968,0.000000,0.000000,0.000000,events/second
1719503491,2,0.000954,0.000000,0.000000,0.000000,events/second
1719503521,2,0.000941,0.000000,0.000000,0.000000,events/second
1719503551,2,0.000928,0.000000,0.000000,0.000000,events/second
1719503582,2,0.000915,0.000000,0.000000,0.000000,events/second
1719503612,2,0.000903,0.000000,0.000000,0.000000,events/second
1719503642,2,0.000891,0.000000,0.000000,0.000000,events/second
1719503672,2,0.000879,0.000000,0.000000,0.000000,events/second
1719503702,2,0.000867,0.000000,0.000000,0.000000,events/second
1719503732,2,0.000856,0.000000,0.000000,0.000000,events/second
1719503762,2,0.000845,0.000000,0.000000,0.000000,events/second
1719503792,2,0.000835,0.000000,0.000000,0.000000,events/second
1719503822,2,0.000824,0.000000,0.000000,0.000000,events/second
1719503852,2,0.000814,0.000000,0.000000,0.000000,events/second
1719503882,2,0.000805,0.000000,0.000000,0.000000,events/second
1719503912,2,0.000795,0.000000,0.000000,0.000000,events/second
1719503942,2,0.000786,0.000000,0.000000,0.000000,events/second
1719503972,2,0.000776,0.000000,0.000000,0.000000,events/second
1719504002,2,0.000767,0.000000,0.000000,0.000000,events/second
1719504032,2,0.000759,0.000000,0.000000,0.000000,events/second
1719504062,2,0.000750,0.000000,0.000000,0.000000,events/second
1719504092,2,0.000742,0.000000,0.000000,0.000000,events/second
1719504122,2,0.000734,0.000000,0.000000,0.000000,events/second
1719504152,2,0.000726,0.000000,0.000000,0.000000,events/second
1719504182,2,0.000718,0.000000,0.000000,0.000000,events/second
1719504212,2,0.000710,0.000000,0.000000,0.000000,events/second
1719504270,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504300,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504330,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504360,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504390,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504420,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504450,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504480,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504510,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504540,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504570,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504600,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504630,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504660,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504690,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504720,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504750,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504780,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504810,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504840,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504870,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504900,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504930,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504960,0,0.000000,0.000000,0.000000,0.000000,events/second
1719504991,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505021,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505051,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505081,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505111,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505141,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505171,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505201,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505231,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505261,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505291,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505321,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505351,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505381,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505411,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505441,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505471,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505501,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505531,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505561,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505591,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505621,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505651,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505681,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505711,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505741,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505771,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505801,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505831,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505861,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505891,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505921,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505951,0,0.000000,0.000000,0.000000,0.000000,events/second
1719505980,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506010,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506040,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506070,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506100,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506130,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506160,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506190,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506220,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506250,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506280,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506310,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506340,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506370,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506401,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506431,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506461,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506491,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506521,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506551,0,0.000000,0.000000,0.000000,0.000000,events/second
1719506581,0,0.000000,0.000000,0.000000,0.000000,events/second
